name,lat,lon,population,state
Miller,31.164,-84.7308,5984,GA
Talbot,32.6995,-84.533,5837,GA
Calhoun,31.5292,-84.6245,5668,GA
Stewart,32.0785,-84.8352,5347,GA
Warren,33.4089,-82.6768,5218,GA
Schley,32.2617,-84.3148,4622,GA
Echols,30.7101,-82.894,3691,GA
Baker,31.3262,-84.4447,2928,GA
Glascock,33.2293,-82.6107,2903,GA
Clay,31.6262,-84.9801,2883,GA
Webster,32.0468,-84.5511,2372,GA
Quitman,31.8673,-85.0188,2249,GA
Taliaferro,33.5661,-82.8788,1574,GA
Honolulu,21.5008,-158.1053,1015167,HI
Hawaii,19.5985,-155.5185,200468,HI
Maui,20.8596,-156.5649,164568,HI
Kauai,22.0398,-159.5966,73247,HI
Kalawao,21.1709,-156.9475,48,HI
Ada,43.4511,-116.2412,485246,ID
Canyon,43.6251,-116.7093,227367,ID
Kootenai,47.6744,-116.7018,168317,ID
Bonneville,43.3877,-111.6148,121771,ID
Twin Falls,42.356,-114.6672,89128,ID
Bannock,42.6685,-112.2246,86362,ID
Madison,43.7841,-111.6592,50979,ID
Bingham,43.2166,-112.3981,47540,ID
Bonner,48.3,-116.6011,46481,ID
Nez Perce,46.3268,-116.7502,41820,ID
Latah,46.8162,-116.7117,39464,ID
Jefferson,43.8201,-112.3113,30427,ID
Elmore,43.354,-115.4693,28396,ID
Payette,44.0068,-116.7608,24928,ID
Cassia,42.2839,-113.6001,24469,ID
Jerome,42.6899,-114.2639,24081,ID
Blaine,43.4119,-113.9802,23868,ID
Minidoka,42.8543,-113.6375,21393,ID
Gem,44.0615,-116.3975,18692,ID
Idaho,45.8441,-115.4675,16494,ID
Gooding,42.971,-114.8115,15422,ID
Franklin,42.1811,-111.8132,14036,ID
Fremont,44.2288,-111.4819,13370,ID
Shoshone,47.3529,-115.8924,13124,ID
Boundary,48.7669,-116.4629,11966,ID
Owyhee,42.5814,-116.1699,11815,ID
Teton,43.7594,-111.2076,11490,ID
Valley,44.7666,-115.5663,11476,ID
Washington,44.4524,-116.7847,10425,ID
Benewah,47.2176,-116.6587,9509,ID
Clearwater,46.6736,-115.6567,8719,ID
Lemhi,44.9433,-113.9333,7948,ID
Power,42.6936,-112.8407,7854,ID
Boise,43.9891,-115.7303,7549,ID
Caribou,42.7705,-111.5623,7003,ID
Bear Lake,42.2848,-111.3297,6327,ID
Lincoln,43.0024,-114.1383,5184,ID
Oneida,42.195,-112.5394,4514,ID
Adams,44.8895,-116.4538,4321,ID
Custer,44.2411,-114.2817,4273,ID
Lewis,46.237,-116.4263,3613,ID
